game_id,ww1,ww2,seer,doctor,v1,v2,v3,v4,status,winner,rounds
100,Baseline,Baseline2,ReAct,ToT2,Reflection,ToT,Reflection2,ReAct2,pending,,
101,Baseline,Baseline2,ToT,Reflection,ReAct,Reflection2,ReAct2,ToT2,pending,,
102,Baseline,Baseline2,ToT,ReAct,Reflection,Reflection2,ReAct2,ToT2,pending,,
103,Baseline,Baseline2,ToT,Reflection2,Reflection,ReAct,ReAct2,ToT2,pending,,
104,Baseline,Baseline2,ToT,ReAct2,Reflection,ReAct,Reflection2,ToT2,pending,,
105,Baseline,Baseline2,ToT,ToT2,Reflection,ReAct,Reflection2,ReAct2,pending,,
106,Baseline,Baseline2,Reflection2,Reflection,ReAct,ToT,ReAct2,ToT2,pending,,
107,Baseline,Baseline2,Reflection2,ReAct,Reflection,ToT,ReAct2,ToT2,pending,,
108,Baseline,Baseline2,Reflection2,ToT,Reflection,ReAct,ReAct2,ToT2,pending,,
109,Baseline,Baseline2,Reflection2,ReAct2,Reflection,ReAct,ToT,ToT2,pending,,
110,Baseline,Baseline2,Reflection2,ToT2,Reflection,ReAct,ToT,ReAct2,pending,,
111,Baseline,Baseline2,ReAct2,Reflection,ReAct,ToT,Reflection2,ToT2,pending,,
112,Baseline,Baseline2,ReAct2,ReAct,Reflection,ToT,Reflection2,ToT2,pending,,
113,Baseline,Baseline2,ReAct2,ToT,Reflection,ReAct,Reflection2,ToT2,pending,,
114,Baseline,Baseline2,ReAct2,Reflection2,Reflection,ReAct,ToT,ToT2,pending,,
115,Baseline,Baseline2,ReAct2,ToT2,Reflection,ReAct,ToT,Reflection2,pending,,
116,Baseline,Baseline2,ToT2,Reflection,ReAct,ToT,Reflection2,ReAct2,pending,,
117,Baseline,Baseline2,ToT2,ReAct,Reflection,ToT,Reflection2,ReAct2,pending,,
118,Baseline,Baseline2,ToT2,ToT,Reflection,ReAct,Reflection2,ReAct2,pending,,
119,Baseline,Baseline2,ToT2,Reflection2,Reflection,ReAct,ToT,ReAct2,pending,,
120,Baseline,Baseline2,ToT2,ReAct2,Reflection,ReAct,ToT,Reflection2,pending,,
121,Baseline,Reflection2,Reflection,ReAct,ToT,Baseline2,ReAct2,ToT2,pending,,
122,Baseline,Reflection2,Reflection,ToT,ReAct,Baseline2,ReAct2,ToT2,pending,,
123,Baseline,Reflection2,Reflection,Baseline2,ReAct,ToT,ReAct2,ToT2,pending,,
124,Baseline,Reflection2,Reflection,ReAct2,ReAct,ToT,Baseline2,ToT2,pending,,
125,Baseline,Reflection2,Reflection,ToT2,ReAct,ToT,Baseline2,ReAct2,pending,,
126,Baseline,Reflection2,ReAct,Reflection,ToT,Baseline2,ReAct2,ToT2,pending,,
127,Baseline,Reflection2,ReAct,ToT,Reflection,Baseline2,ReAct2,ToT2,pending,,
128,Baseline,Reflection2,ReAct,Baseline2,Reflection,ToT,ReAct2,ToT2,pending,,
129,Baseline,Reflection2,ReAct,ReAct2,Reflection,ToT,Baseline2,ToT2,pending,,
130,Baseline,Reflection2,ReAct,ToT2,Reflection,ToT,Baseline2,ReAct2,pending,,
